"variable_names","variable_desc","religion_name"
"ACCACNG","Apostolic Christian Church of America, Inc.--Total number of congregations","Apostolic Christian Church of America, Inc."
"ACCAADH","Apostolic Christian Church of America, Inc.--Total number of adherents","Apostolic Christian Church of America, Inc."
"ACCARATE","Apostolic Christian Church of America, Inc.--Rates of adherence per 1,000 population","Apostolic Christian Church of America, Inc."
"AFMCNG","Apostolic Faith Mission of Portland, OR--Total number of congregations","Apostolic Faith Mission of Portland, OR"
"AFMADH","Apostolic Faith Mission of Portland, OR--Total number of adherents","Apostolic Faith Mission of Portland, OR"
"AFMRATE","Apostolic Faith Mission of Portland, OR--Rates of adherence per 1,000 population","Apostolic Faith Mission of Portland, OR"
"ALCACNG","Apostolic Lutheran Church of America--Total number of congregations","Apostolic Lutheran Church of America"
"AACACNG","Armenian Apostolic Church of America (Catholicosate of Cilicia)--Total number of congregations","Armenian Apostolic Church of America (Catholicosate of Cilicia)"
"AACAADH","Armenian Apostolic Church of America (Catholicosate of Cilicia)--Total number of adherents","Armenian Apostolic Church of America (Catholicosate of Cilicia)"
"AACARATE","Armenian Apostolic Church of America (Catholicosate of Cilicia)--Rates of adherence per 1,000 population","Armenian Apostolic Church of America (Catholicosate of Cilicia)"
"ARMCNG","Armenian Church of North America (Catholicosate of Etchmiadzin)--Total number of congregations","Armenian Church of North America (Catholicosate of Etchmiadzin)"
"ARMADH","Armenian Church of North America (Catholicosate of Etchmiadzin)--Total number of adherents","Armenian Church of North America (Catholicosate of Etchmiadzin)"
"ARMRATE","Armenian Church of North America (Catholicosate of Etchmiadzin)--Rates of adherence per 1,000 population","Armenian Church of North America (Catholicosate of Etchmiadzin)"
"AECCNG","Armenian Evangelical Churches (Additional)--Total number of congregations","Armenian Evangelical Churches (Additional)"
"AGCNG","Assemblies of God--Total number of congregations","Assemblies of God"
"AGADH","Assemblies of God--Total number of adherents","Assemblies of God"
"AGRATE","Assemblies of God--Rates of adherence per 1,000 population","Assemblies of God"
"AGIFCNG","Assemblies of God International Fellowship--Total number of congregations","Assemblies of God International Fellowship"
"ARPCCNG","Associate Reformed Presbyterian Church--Total number of congregations","Associate Reformed Presbyterian Church"
"ARPCADH","Associate Reformed Presbyterian Church--Total number of adherents","Associate Reformed Presbyterian Church"
"ARPCRATE","Associate Reformed Presbyterian Church--Rates of adherence per 1,000 population","Associate Reformed Presbyterian Church"
"AFLCCNG","Association of Free Lutheran Congregations--Total number of congregations","Association of Free Lutheran Congregations"
"AMCCNG","Association of Messianic Congregations--Total number of congregations","Association of Messianic Congregations"
"ARBCCNG","Association of Reformed Baptist Churches of America--Total number of congregations","Association of Reformed Baptist Churches of America"
"BAHCNG","Baha'i--Total number of congregations","Baha'i"
"BAHADH","Baha'i--Total number of adherents","Baha'i"
"BAHRATE","Baha'i--Rates of adherence per 1,000 population","Baha'i"
"BAMCCNG","Beachy Amish Mennonite Churches--Total number of congregations","Beachy Amish Mennonite Churches"
"BAMCADH","Beachy Amish Mennonite Churches--Total number of adherents","Beachy Amish Mennonite Churches"
"BAMCRATE","Beachy Amish Mennonite Churches--Rates of adherence per 1,000 population","Beachy Amish Mennonite Churches"
"BAMCNG","Berea Amish Mennonite--Total number of congregations","Berea Amish Mennonite"
"BAMADH","Berea Amish Mennonite--Total number of adherents","Berea Amish Mennonite"
"BAMRATE","Berea Amish Mennonite--Rates of adherence per 1,000 population","Berea Amish Mennonite"
"BFCCNG","Bible Fellowship Church--Total number of congregations","Bible Fellowship Church"
"BFCADH","Bible Fellowship Church--Total number of adherents","Bible Fellowship Church"
"BFCRATE","Bible Fellowship Church--Rates of adherence per 1,000 population","Bible Fellowship Church"
"BPCCNG","Bible Presbyterian Church (General Synod)--Total number of congregations","Bible Presbyterian Church (General Synod)"
"BCACNG","Brethren Church, The (Ashland, Ohio)--Total number of congregations","Brethren Church, The (Ashland, Ohio)"
"BCAADH","Brethren Church, The (Ashland, Ohio)--Total number of adherents","Brethren Church, The (Ashland, Ohio)"
"BCARATE","Brethren Church, The (Ashland, Ohio)--Rates of adherence per 1,000 population","Brethren Church, The (Ashland, Ohio)"
"BCCCNG","Brethren in Christ Church--Total number of congregations","Brethren in Christ Church"
"BRUDCNG","Bruderhof Communities, Inc.--Total number of congregations","Bruderhof Communities, Inc."
"BRUDADH","Bruderhof Communities, Inc.--Total number of adherents","Bruderhof Communities, Inc."
"BRUDRATE","Bruderhof Communities, Inc.--Rates of adherence per 1,000 population","Bruderhof Communities, Inc."
"BUDMCNG","Buddhism, Mahayana--Total number of congregations","Buddhism, Mahayana"
"BUDMADH","Buddhism, Mahayana--Total number of adherents","Buddhism, Mahayana"
"BUDMRATE","Buddhism, Mahayana--Rates of adherence per 1,000 population","Buddhism, Mahayana"
"BUDTCNG","Buddhism, Theravada--Total number of congregations","Buddhism, Theravada"
"BUDTADH","Buddhism, Theravada--Total number of adherents","Buddhism, Theravada"
"BUDTRATE","Buddhism, Theravada--Rates of adherence per 1,000 population","Buddhism, Theravada"
"BUDVCNG","Buddhism, Vajrayana--Total number of congregations","Buddhism, Vajrayana"
"BUDVADH","Buddhism, Vajrayana--Total number of adherents","Buddhism, Vajrayana"
"BUDVRATE","Buddhism, Vajrayana--Rates of adherence per 1,000 population","Buddhism, Vajrayana"
"BULGCNG","Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia--Total number of congregations","Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia"
"BULGADH","Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia--Total number of adherents","Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia"
"BULGRATE","Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia--Rates of adherence per 1,000 population","Bulgarian Eastern Orthodox Diocese of the USA, Canada and Australia"
"CCFCCNG","Calvary Chapel Fellowship Churches--Total number of congregations","Calvary Chapel Fellowship Churches"
"CARCCNG","Canadian and American Reformed Churches--Total number of congregations","Canadian and American Reformed Churches"
"CTHCNG","Catholic Church--Total number of congregations","Catholic Church"
"CTHADH","Catholic Church--Total number of adherents","Catholic Church"
"CTHRATE","Catholic Church--Rates of adherence per 1,000 population","Catholic Church"
"CYMFCNG","Central Yearly Meeting of Friends--Total number of congregations","Central Yearly Meeting of Friends"
"CYMFADH","Central Yearly Meeting of Friends--Total number of adherents","Central Yearly Meeting of Friends"
"CYMFRATE","Central Yearly Meeting of Friends--Rates of adherence per 1,000 population","Central Yearly Meeting of Friends"
"CMACNG","Christian and Missionary Alliance, The--Total number of congregations","Christian and Missionary Alliance, The"
"CMAADH","Christian and Missionary Alliance, The--Total number of adherents","Christian and Missionary Alliance, The"
"CMARATE","Christian and Missionary Alliance, The--Rates of adherence per 1,000 population","Christian and Missionary Alliance, The"
"CBCNG","Christian Brethren--Total number of congregations","Christian Brethren"
"CCDCCNG","Christian Church (Disciples of Christ)--Total number of congregations","Christian Church (Disciples of Christ)"
"CCDCADH","Christian Church (Disciples of Christ)--Total number of adherents","Christian Church (Disciples of Christ)"
"CCDCRATE","Christian Church (Disciples of Christ)--Rates of adherence per 1,000 population","Christian Church (Disciples of Christ)"
"CCCCCNG","Christian Churches and Churches of Christ--Total number of congregations","Christian Churches and Churches of Christ"
"CCCCADH","Christian Churches and Churches of Christ--Total number of adherents","Christian Churches and Churches of Christ"
"CCCCRATE","Christian Churches and Churches of Christ--Rates of adherence per 1,000 population","Christian Churches and Churches of Christ"
"CMECNG","Christian Methodist Episcopal Church--Total number of congregations","Christian Methodist Episcopal Church"
"CMEADH","Christian Methodist Episcopal Church--Total number of adherents","Christian Methodist Episcopal Church"
"CMERATE","Christian Methodist Episcopal Church--Rates of adherence per 1,000 population","Christian Methodist Episcopal Church"
"CRCCNG","Christian Reformed Church in North America--Total number of congregations","Christian Reformed Church in North America"
"CRCADH","Christian Reformed Church in North America--Total number of adherents","Christian Reformed Church in North America"
"CRCRATE","Christian Reformed Church in North America--Rates of adherence per 1,000 population","Christian Reformed Church in North America"
"CUCNG","Christian Union--Total number of congregations","Christian Union"
"CCHCNG","Church of Christ (Holiness), U.S.A.--Total number of congregations","Church of Christ (Holiness), U.S.A."
"CCSCNG","Church of Christ, Scientist--Total number of congregations","Church of Christ, Scientist"
"CGAICNG","Church of God (Anderson, Indiana)--Total number of congregations","Church of God (Anderson, Indiana)"
"CGAIADH","Church of God (Anderson, Indiana)--Total number of adherents","Church of God (Anderson, Indiana)"
"CGAIRATE","Church of God (Anderson, Indiana)--Rates of adherence per 1,000 population","Church of God (Anderson, Indiana)"
"CGCTCNG","Church of God (Cleveland, Tennessee)--Total number of congregations","Church of God (Cleveland, Tennessee)"
"CGCTADH","Church of God (Cleveland, Tennessee)--Total number of adherents","Church of God (Cleveland, Tennessee)"
"CGCTRATE","Church of God (Cleveland, Tennessee)--Rates of adherence per 1,000 population","Church of God (Cleveland, Tennessee)"
"CG7DCNG","Church of God (Seventh Day)--Total number of congregations","Church of God (Seventh Day)"
"CGFCNG","Church of God by Faith, Inc.--Total number of congregations","Church of God by Faith, Inc."
"CGGCCNG","Church of God General Conference--Total number of congregations","Church of God General Conference"
"CGGCADH","Church of God General Conference--Total number of adherents","Church of God General Conference"
"CGGCRATE","Church of God General Conference--Rates of adherence per 1,000 population","Church of God General Conference"
"CGCCNG","Church of God in Christ--Total number of congregations","Church of God in Christ"
"CGCADH","Church of God in Christ--Total number of adherents","Church of God in Christ"
"CGCRATE","Church of God in Christ--Rates of adherence per 1,000 population","Church of God in Christ"
"CGCMCNG","Church of God in Christ, Mennonite--Total number of congregations","Church of God in Christ, Mennonite"
"CGCMADH","Church of God in Christ, Mennonite--Total number of adherents","Church of God in Christ, Mennonite"
"CGCMRATE","Church of God in Christ, Mennonite--Rates of adherence per 1,000 population","Church of God in Christ, Mennonite"
"CGPCNG","Church of God of Prophecy--Total number of congregations","Church of God of Prophecy"
"CGPADH","Church of God of Prophecy--Total number of adherents","Church of God of Prophecy"
"CGPRATE","Church of God of Prophecy--Rates of adherence per 1,000 population","Church of God of Prophecy"
"CGAFCNG","Church of God of the Apostolic Faith, Inc.--Total number of congregations","Church of God of the Apostolic Faith, Inc."
"CGMACNG","Church of God, Mountain Assembly, Inc.--Total number of congregations","Church of God, Mountain Assembly, Inc."
"LDSCNG","Church of Jesus Christ of Latter-day Saints, The--Total number of congregations","Church of Jesus Christ of Latter-day Saints, The"
"LDSADH","Church of Jesus Christ of Latter-day Saints, The--Total number of adherents","Church of Jesus Christ of Latter-day Saints, The"
"LDSRATE","Church of Jesus Christ of Latter-day Saints, The--Rates of adherence per 1,000 population","Church of Jesus Christ of Latter-day Saints, The"
"CAFCNG","Church of Our Lord Jesus Christ of the Apostolic Faith, Inc.--Total number of congregations","Church of Our Lord Jesus Christ of the Apostolic Faith, Inc."
"CBRCNG","Church of the Brethren--Total number of congregations","Church of the Brethren"
"CBRADH","Church of the Brethren--Total number of adherents","Church of the Brethren"
"CBRRATE","Church of the Brethren--Rates of adherence per 1,000 population","Church of the Brethren"
"CLBACNG","Church of the Lutheran Brethren of America--Total number of congregations","Church of the Lutheran Brethren of America"
"CLBAADH","Church of the Lutheran Brethren of America--Total number of adherents","Church of the Lutheran Brethren of America"
"CLBARATE","Church of the Lutheran Brethren of America--Rates of adherence per 1,000 population","Church of the Lutheran Brethren of America"
"CLCCNG","Church of the Lutheran Confession--Total number of congregations","Church of the Lutheran Confession"
"NAZCNG","Church of the Nazarene--Total number of congregations","Church of the Nazarene"
"NAZADH","Church of the Nazarene--Total number of adherents","Church of the Nazarene"
"NAZRATE","Church of the Nazarene--Rates of adherence per 1,000 population","Church of the Nazarene"
"CUBCCNG","Church of the United Brethren in Christ--Total number of congregations","Church of the United Brethren in Christ"
"CUBCADH","Church of the United Brethren in Christ--Total number of adherents","Church of the United Brethren in Christ"
"CUBCRATE","Church of the United Brethren in Christ--Rates of adherence per 1,000 population","Church of the United Brethren in Christ"
"CHCHCNG","Churches of Christ--Total number of congregations","Churches of Christ"
"CHCHADH","Churches of Christ--Total number of adherents","Churches of Christ"
"CHCHRATE","Churches of Christ--Rates of adherence per 1,000 population","Churches of Christ"
"CCCUCNG","Churches of Christ in Christian Union--Total number of congregations","Churches of Christ in Christian Union"
"CHGNCNG","Churches of God, General Conference--Total number of congregations","Churches of God, General Conference"
"CHGNADH","Churches of God, General Conference--Total number of adherents","Churches of God, General Conference"
"CHGNRATE","Churches of God, General Conference--Rates of adherence per 1,000 population","Churches of God, General Conference"
"CRECCNG","Communion of Reformed Evangelical Churches--Total number of congregations","Communion of Reformed Evangelical Churches"
"COCCNG","Community of Christ--Total number of congregations","Community of Christ"
"COCADH","Community of Christ--Total number of adherents","Community of Christ"
"COCRATE","Community of Christ--Rates of adherence per 1,000 population","Community of Christ"
"CCCCNG","Congregational Christian Churches, Additional (not part of any national CCC body)--Total number of congregations","Congregational Christian Churches, Additional (not part of any national CCC body)"
"CCCADH","Congregational Christian Churches, Additional (not part of any national CCC body)--Total number of adherents","Congregational Christian Churches, Additional (not part of any national CCC body)"
"CCCRATE","Congregational Christian Churches, Additional (not part of any national CCC body)--Rates of adherence per 1,000 population","Congregational Christian Churches, Additional (not part of any national CCC body)"
"CHCCNG","Congregational Holiness Church--Total number of congregations","Congregational Holiness Church"
"CHCADH","Congregational Holiness Church--Total number of adherents","Congregational Holiness Church"
"CHCRATE","Congregational Holiness Church--Rates of adherence per 1,000 population","Congregational Holiness Church"
"CMCCNG","Congregational Methodist Church--Total number of congregations","Congregational Methodist Church"
"CMCADH","Congregational Methodist Church--Total number of adherents","Congregational Methodist Church"
"CMCRATE","Congregational Methodist Church--Rates of adherence per 1,000 population","Congregational Methodist Church"
"CBACNG","Conservative Baptist Association of America--Total number of congregations","Conservative Baptist Association of America"
"CCONCNG","Conservative Congregational Christian Conference--Total number of congregations","Conservative Congregational Christian Conference"
"CCONADH","Conservative Congregational Christian Conference--Total number of adherents","Conservative Congregational Christian Conference"
"CCONRATE","Conservative Congregational Christian Conference--Rates of adherence per 1,000 population","Conservative Congregational Christian Conference"
"CJUDCNG","Conservative Judaism--Total number of congregations","Conservative Judaism"
"CJUDADH","Conservative Judaism--Total number of adherents","Conservative Judaism"
"CJUDRATE","Conservative Judaism--Rates of adherence per 1,000 population","Conservative Judaism"
"CLACNG","Conservative Lutheran Association--Total number of congregations","Conservative Lutheran Association"
"CMCOCNG","Conservative Mennonite Conference--Total number of congregations","Conservative Mennonite Conference"
"CMCOADH","Conservative Mennonite Conference--Total number of adherents","Conservative Mennonite Conference"
"CMCORATE","Conservative Mennonite Conference--Rates of adherence per 1,000 population","Conservative Mennonite Conference"
"CYFRCNG","Conservative Yearly Meetings of Friends--Total number of congregations","Conservative Yearly Meetings of Friends"
"CYFRADH","Conservative Yearly Meetings of Friends--Total number of adherents","Conservative Yearly Meetings of Friends"
"CYFRRATE","Conservative Yearly Meetings of Friends--Rates of adherence per 1,000 population","Conservative Yearly Meetings of Friends"
"OFWBCNG","Convention of Original Free Will Baptists--Total number of congregations","Convention of Original Free Will Baptists"
"OFWBADH","Convention of Original Free Will Baptists--Total number of adherents","Convention of Original Free Will Baptists"
"OFWBRATE","Convention of Original Free Will Baptists--Rates of adherence per 1,000 population","Convention of Original Free Will Baptists"
"CWCNG","Converge Worldwide/Baptist General Conference--Total number of congregations","Converge Worldwide/Baptist General Conference"
"CWADH","Converge Worldwide/Baptist General Conference--Total number of adherents","Converge Worldwide/Baptist General Conference"
"CWRATE","Converge Worldwide/Baptist General Conference--Rates of adherence per 1,000 population","Converge Worldwide/Baptist General Conference"
"COPTCNG","Coptic Orthodox Church--Total number of congregations","Coptic Orthodox Church"
"COPTADH","Coptic Orthodox Church--Total number of adherents","Coptic Orthodox Church"
"COPTRATE","Coptic Orthodox Church--Rates of adherence per 1,000 population","Coptic Orthodox Church"
"CRPCCNG","Covenant Reformed Presbyterian Church--Total number of congregations","Covenant Reformed Presbyterian Church"
"CUMBCNG","Cumberland Presbyterian Church--Total number of congregations","Cumberland Presbyterian Church"
"CUMBADH","Cumberland Presbyterian Church--Total number of adherents","Cumberland Presbyterian Church"
"CUMBRATE","Cumberland Presbyterian Church--Rates of adherence per 1,000 population","Cumberland Presbyterian Church"
"CPCACNG","Cumberland Presbyterian Church in America--Total number of congregations","Cumberland Presbyterian Church in America"
"ELIMCNG","Elim Fellowship--Total number of congregations","Elim Fellowship"
"EBACNG","Enterprise Baptists Association--Total number of congregations","Enterprise Baptists Association"
"ECCNG","Episcopal Church--Total number of congregations","Episcopal Church"
"ECADH","Episcopal Church--Total number of adherents","Episcopal Church"
"ECRATE","Episcopal Church--Rates of adherence per 1,000 population","Episcopal Church"
"EOCNG","Eritrean Orthodox--Total number of congregations","Eritrean Orthodox"
"EOADH","Eritrean Orthodox--Total number of adherents","Eritrean Orthodox"
"EORATE","Eritrean Orthodox--Rates of adherence per 1,000 population","Eritrean Orthodox"
"ETHOCNG","Ethiopian Orthodox--Total number of congregations","Ethiopian Orthodox"
"EARCNG","Evangelical Association of Reformed and Congregational Christian Churches--Total number of congregations","Evangelical Association of Reformed and Congregational Christian Churches"
"EVCHCNG","Evangelical Church, The--Total number of congregations","Evangelical Church, The"
"ECCCNG","Evangelical Congregational Church, The--Total number of congregations","Evangelical Congregational Church, The"
"ECCADH","Evangelical Congregational Church, The--Total number of adherents","Evangelical Congregational Church, The"
"ECCRATE","Evangelical Congregational Church, The--Rates of adherence per 1,000 population","Evangelical Congregational Church, The"
"ECOVCNG","Evangelical Covenant Church, The--Total number of congregations","Evangelical Covenant Church, The"
"ECOVADH","Evangelical Covenant Church, The--Total number of adherents","Evangelical Covenant Church, The"
"ECOVRATE","Evangelical Covenant Church, The--Rates of adherence per 1,000 population","Evangelical Covenant Church, The"
"EFCACNG","Evangelical Free Church of America, The--Total number of congregations","Evangelical Free Church of America, The"
"EFCAADH","Evangelical Free Church of America, The--Total number of adherents","Evangelical Free Church of America, The"
"EFCARATE","Evangelical Free Church of America, The--Rates of adherence per 1,000 population","Evangelical Free Church of America, The"
"EFCICNG","Evangelical Friends Church International--Total number of congregations","Evangelical Friends Church International"
"EFCIADH","Evangelical Friends Church International--Total number of adherents","Evangelical Friends Church International"
"EFCIRATE","Evangelical Friends Church International--Rates of adherence per 1,000 population","Evangelical Friends Church International"
"ELCACNG","Evangelical Lutheran Church in America--Total number of congregations","Evangelical Lutheran Church in America"
"ELCAADH","Evangelical Lutheran Church in America--Total number of adherents","Evangelical Lutheran Church in America"
"ELCARATE","Evangelical Lutheran Church in America--Rates of adherence per 1,000 population","Evangelical Lutheran Church in America"
"ELSCNG","Evangelical Lutheran Synod--Total number of congregations","Evangelical Lutheran Synod"
"ELSADH","Evangelical Lutheran Synod--Total number of adherents","Evangelical Lutheran Synod"
"ELSRATE","Evangelical Lutheran Synod--Rates of adherence per 1,000 population","Evangelical Lutheran Synod"
"EMCCNG","Evangelical Methodist Church--Total number of congregations","Evangelical Methodist Church"
"EPCCNG","Evangelical Presbyterian Church--Total number of congregations","Evangelical Presbyterian Church"
"EPCADH","Evangelical Presbyterian Church--Total number of adherents","Evangelical Presbyterian Church"
"EPCRATE","Evangelical Presbyterian Church--Rates of adherence per 1,000 population","Evangelical Presbyterian Church"
"FRCCNG","Federation of Reformed Churches--Total number of congregations","Federation of Reformed Churches"
"FEBCCNG","Fellowship of Evangelical Bible Churches--Total number of congregations","Fellowship of Evangelical Bible Churches"
"FEBCADH","Fellowship of Evangelical Bible Churches--Total number of adherents","Fellowship of Evangelical Bible Churches"
"FEBCRATE","Fellowship of Evangelical Bible Churches--Rates of adherence per 1,000 population","Fellowship of Evangelical Bible Churches"
"FECCNG","Fellowship of Evangelical Churches--Total number of congregations","Fellowship of Evangelical Churches"
"FECADH","Fellowship of Evangelical Churches--Total number of adherents","Fellowship of Evangelical Churches"
"FECRATE","Fellowship of Evangelical Churches--Rates of adherence per 1,000 population","Fellowship of Evangelical Churches"
"FOURCNG","Foursquare Gospel, International Church of the--Total number of congregations","Foursquare Gospel, International Church of the"
"FOURADH","Foursquare Gospel, International Church of the--Total number of adherents","Foursquare Gospel, International Church of the"
"FOURRATE","Foursquare Gospel, International Church of the--Rates of adherence per 1,000 population","Foursquare Gospel, International Church of the"
"FCSCNG","Free Church of Scotland (Continuing)--Total number of congregations","Free Church of Scotland (Continuing)"
"FMCCNG","Free Methodist Church of North America--Total number of congregations","Free Methodist Church of North America"
"FMCADH","Free Methodist Church of North America--Total number of adherents","Free Methodist Church of North America"
"FMCRATE","Free Methodist Church of North America--Rates of adherence per 1,000 population","Free Methodist Church of North America"
"FPCCNG","Free Presbyterian Church of North America--Total number of congregations","Free Presbyterian Church of North America"
"FRCHCNG","Free Reformed Church of North America--Total number of congregations","Free Reformed Church of North America"
"FRNDCNG","Friends General Conference and Friends United Meeting, dually aligned meetings--Total number of congregations","Friends General Conference and Friends United Meeting, dually aligned meetings"
"FRNDADH","Friends General Conference and Friends United Meeting, dually aligned meetings--Total number of adherents","Friends General Conference and Friends United Meeting, dually aligned meetings"
"FRNDRATE","Friends General Conference and Friends United Meeting, dually aligned meetings--Rates of adherence per 1,000 population","Friends General Conference and Friends United Meeting, dually aligned meetings"
"FGCCNG","Friends General Conference--Total number of congregations","Friends General Conference"
"FGCADH","Friends General Conference--Total number of adherents","Friends General Conference"
"FGCRATE","Friends General Conference--Rates of adherence per 1,000 population","Friends General Conference"
"FUMCNG","Friends United Meeting--Total number of congregations","Friends United Meeting"
"FUMADH","Friends United Meeting--Total number of adherents","Friends United Meeting"
"FUMRATE","Friends United Meeting--Rates of adherence per 1,000 population","Friends United Meeting"
"FGBCNG","Full Gospel Baptist Church Fellowship--Total number of congregations","Full Gospel Baptist Church Fellowship"
"FBFCNG","Fundamental Baptist Fellowship--Total number of congregations","Fundamental Baptist Fellowship"
"GARBCNG","General Association of Regular Baptist Churches--Total number of congregations","General Association of Regular Baptist Churches"
"GOPCNG","Georgian Orthodox Parishes in the United States--Total number of congregations","Georgian Orthodox Parishes in the United States"
"GOPADH","Georgian Orthodox Parishes in the United States--Total number of adherents","Georgian Orthodox Parishes in the United States"
"GOPRATE","Georgian Orthodox Parishes in the United States--Rates of adherence per 1,000 population","Georgian Orthodox Parishes in the United States"
"FGBCCNG","Grace Brethren Churches, Fellowship of--Total number of congregations","Grace Brethren Churches, Fellowship of"
"GGFCNG","Grace Gospel Fellowship--Total number of congregations","Grace Gospel Fellowship"
"GRKCNG","Greek Orthodox Archdiocese of America--Total number of congregations","Greek Orthodox Archdiocese of America"
"GRKADH","Greek Orthodox Archdiocese of America--Total number of adherents","Greek Orthodox Archdiocese of America"
"GRKRATE","Greek Orthodox Archdiocese of America--Rates of adherence per 1,000 population","Greek Orthodox Archdiocese of America"
